\xF0\x9F\x90\xA4,BABY CHICK
\xF0\x9F\x8E\x91,MOON VIEWING CEREMONY
\xE2\x9B\xB2,FOUNTAIN
\xF0\x9F\x8E\x93,GRADUATION CAP
\xF0\x9F\x8E\x92,SCHOOL SATCHEL
\xE2\x9B\xB3,FLAG IN HOLE
\xF0\x9F\x87\xA9\xF0\x9F\x87\xAA,REGIONAL INDICATOR SYMBOL LETTER D + REGIONAL INDICATOR SYMBOL LETTER E
\xF0\x9F\x90\xA3,HATCHING CHICK
\xF0\x9F\x90\xA2,TURTLE
\xE2\x9C\x96,HEAVY MULTIPLICATION X
\xE2\x9C\x94,HEAVY CHECK MARK
\xE2\x9C\x92,BLACK NIB
\xF0\x9F\x90\xA1,BLOWFISH
\xF0\x9F\x90\xAC,DOLPHIN
\xF0\x9F\x90\xAB,BACTRIAN CAMEL
\xE2\x84\xB9,INFORMATION SOURCE
\xF0\x9F\x90\xA0,TROPICAL FISH
\xF0\x9F\x90\xAF,TIGER FACE
\xF0\x9F\x90\xAE,COW FACE
\xF0\x9F\x90\xAD,MOUSE FACE
\xF0\x9F\x91\x94,NECKTIE
\xE2\xA4\xB4,ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS
\xE2\x9A\xBD,SOCCER BALL
\xF0\x9F\x8D\xA4,FRIED SHRIMP
\xF0\x9F\x8D\xA5,FISH CAKE WITH SWIRL DESIGN
\xF0\x9F\x8D\xA6,SOFT ICE CREAM
\xF0\x9F\x8D\xA7,SHAVED ICE
\xF0\x9F\x8D\xA0,ROASTED SWEET POTATO
\xF0\x9F\x8D\xA1,DANGO
\xF0\x9F\x8D\xA2,ODEN
\xF0\x9F\x8D\xA3,SUSHI
\xF0\x9F\x94\xB2,BLACK SQUARE BUTTON
\xF0\x9F\x94\xB3,WHITE SQUARE BUTTON
\xF0\x9F\x94\xB0,JAPANESE SYMBOL FOR BEGINNER
\xF0\x9F\x94\xB1,TRIDENT EMBLEM
\xF0\x9F\x8D\xA8,ICE CREAM
\xF0\x9F\x8D\xA9,DOUGHNUT
\xF0\x9F\x94\xB4,LARGE RED CIRCLE
\xF0\x9F\x94\xB5,LARGE BLUE CIRCLE
\xF0\x9F\x93\xA3,CHEERING MEGAPHONE
\xE2\xAC\x85,LEFTWARDS BLACK ARROW
\xF0\x9F\x92\xA8,DASH SYMBOL
\xE2\xAC\x87,DOWNWARDS BLACK ARROW
\xE2\xAC\x86,UPWARDS BLACK ARROW
\xF0\x9F\x92\xA5,COLLISION SYMBOL
\xF0\x9F\x87\xAB\xF0\x9F\x87\xB7,REGIONAL INDICATOR SYMBOL LETTER F + REGIONAL INDICATOR SYMBOL LETTER R
\xF0\x9F\x92\xA7,DROPLET
\xF0\x9F\x92\xA6,SPLASHING SWEAT SYMBOL
\xF0\x9F\x92\xA1,ELECTRIC LIGHT BULB
\xF0\x9F\x90\xA9,POODLE
\xF0\x9F\x92\xA3,BOMB
\xF0\x9F\x8F\x88,AMERICAN FOOTBALL
\xF0\x9F\x9A\x96,ONCOMING TAXI
\xF0\x9F\x9A\x97,AUTOMOBILE
\xF0\x9F\x9A\x94,ONCOMING POLICE CAR
\xF0\x9F\x9A\x95,TAXI
\xF0\x9F\x9A\x92,FIRE ENGINE
\xF0\x9F\x9A\x93,POLICE CAR
\xF0\x9F\x9A\x90,MINIBUS
\xF0\x9F\x9A\x91,AMBULANCE
\xF0\x9F\x94\x98,RADIO BUTTON
\xF0\x9F\x9A\x98,ONCOMING AUTOMOBILE
\xF0\x9F\x9A\x99,RECREATIONAL VEHICLE
\xF0\x9F\x94\x97,LINK SYMBOL
\xF0\x9F\x8F\x84,SURFER
\xF0\x9F\x88\x82,SQUARED KATAKANA SA
\xF0\x9F\x88\x81,SQUARED KATAKANA KOKO
\xF0\x9F\x94\x94,BELL
\xF0\x9F\x98\xBF,CRYING CAT FACE
\xF0\x9F\x98\xBD,KISSING CAT FACE WITH CLOSED EYES
\xF0\x9F\x98\xBE,POUTING CAT FACE
\xF0\x9F\x98\xBB,SMILING CAT FACE WITH HEART-SHAPED EYES
\xF0\x9F\x98\xBC,CAT FACE WITH WRY SMILE
\xF0\x9F\x98\xBA,SMILING CAT FACE WITH OPEN MOUTH
\xF0\x9F\x98\xB8,GRINNING CAT FACE WITH SMILING EYES
\xF0\x9F\x98\xB9,CAT FACE WITH TEARS OF JOY
\xF0\x9F\x98\xB6,FACE WITHOUT MOUTH
\xF0\x9F\x98\xB7,FACE WITH MEDICAL MASK
\xF0\x9F\x98\xB4,SLEEPING FACE
\xF0\x9F\x98\xB5,DIZZY FACE
\xF0\x9F\x98\xB2,ASTONISHED FACE
\xF0\x9F\x98\xB3,FLUSHED FACE
\xF0\x9F\x98\xB0,FACE WITH OPEN MOUTH AND COLD SWEAT
\xF0\x9F\x98\xB1,FACE SCREAMING IN FEAR
\xF0\x9F\x91\x96,JEANS
\xE2\x9E\xB0,CURLY LOOP
\xF0\x9F\x9A\x9F,SUSPENSION RAILWAY
\xF0\x9F\x98\xAC,GRIMACING FACE
\xF0\x9F\x9A\x9D,MONORAIL
\xF0\x9F\x91\x95,T-SHIRT
\xF0\x9F\x9A\x9B,ARTICULATED LORRY
\xF0\x9F\x9A\x9C,TRACTOR
\xF0\x9F\x9A\x9A,DELIVERY TRUCK
\xF0\x9F\x91\x92,WOMANS HAT
\xF0\x9F\x93\x8A,BAR CHART
\xF0\x9F\x91\x93,EYEGLASSES
\xE2\x9A\xAA,MEDIUM WHITE CIRCLE
\xE2\x9A\xAB,MEDIUM BLACK CIRCLE
\xF0\x9F\x92\x8F,KISS
\xF0\x9F\x92\x93,BEATING HEART
